Household City,Household County,Household FIPS,Household ST,Household Zip,Agency Name,Agency Address,Agency City,Agency County,Agency ST,Agency Zip
Watseka,IROQUOIS,17075.0,IL,60970,Watseka Area Food Pantry,301 S 4th St ,Middleport Township,IROQUOIS,IL,60970
Watseka,IROQUOIS,17075.0,IL,60970,Watseka Area Food Pantry,301 S 4th St ,Middleport Township,IROQUOIS,IL,60970
Urbana,Champaign,17019.0,IL,61802,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Charleston,Coles,17029.0,IL,61920,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Charleston,Coles,17029.0,IL,61920,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Charleston,Coles,17029.0,IL,61920,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Sullivan,Moultrie,17139.0,IL,61951,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Sullivan,Moultrie,17139.0,IL,61951,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Sullivan,Moultrie,17139.0,IL,61951,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Bloomington,McLean,17113.0,IL,61701,Eastview Christian Church Food Pantry,1500 Airport Rd ,Normal,MCLEAN,IL,61761
Bloomington,McLean,17113.0,IL,61701,Eastview Christian Church Food Pantry,1500 Airport Rd ,Normal,MCLEAN,IL,61761
Bloomington,McLean,17113.0,IL,61701,Eastview Christian Church Food Pantry,1500 Airport Rd ,Normal,MCLEAN,IL,61761
Bloomington,McLean,17113.0,IL,61701,Eastview Christian Church Food Pantry,1500 Airport Rd ,Normal,MCLEAN,IL,61761
Normal,McLean,17113.0,IL,61761,Eastview Christian Church Food Pantry,1500 Airport Rd ,Normal,MCLEAN,IL,61761
Normal,McLean,17113.0,IL,61761,Temba Food Pantry,14940 Old Colonial Rd ,Bloomington,MCLEAN,IL,61705
Normal,McLean,17113.0,IL,61761,Temba Food Pantry,14940 Old Colonial Rd ,Bloomington,MCLEAN,IL,61705
Normal,McLean,17113.0,IL,61761,Eastview Christian Church Food Pantry,1500 Airport Rd ,Normal,MCLEAN,IL,61761
Normal,McLean,17113.0,IL,61761,Eastview Christian Church Food Pantry,1500 Airport Rd ,Normal,MCLEAN,IL,61761
Normal,McLean,17113.0,IL,61761,Temba Food Pantry,14940 Old Colonial Rd ,Bloomington,MCLEAN,IL,61705
Bloomington,MCLEAN,17113.0,IL,61704,Temba Food Pantry,14940 Old Colonial Rd ,Bloomington,MCLEAN,IL,61705
Bloomington,MCLEAN,17113.0,IL,61704,Eastview Christian Church Food Pantry,1500 Airport Rd ,Normal,MCLEAN,IL,61761
Bloomington,MCLEAN,17113.0,IL,61704,Temba Food Pantry,14940 Old Colonial Rd ,Bloomington,MCLEAN,IL,61705
Bloomington,MCLEAN,17113.0,IL,61704,Eastview Christian Church Food Pantry,1500 Airport Rd ,Normal,MCLEAN,IL,61761
Bloomington,MCLEAN,17113.0,IL,61704,Eastview Christian Church Food Pantry,1500 Airport Rd ,Normal,MCLEAN,IL,61761
Bloomington,MCLEAN,17113.0,IL,61704,Temba Food Pantry,14940 Old Colonial Rd ,Bloomington,MCLEAN,IL,61705
Bloomington,MCLEAN,17113.0,IL,61704,Eastview Christian Church Food Pantry,1500 Airport Rd ,Normal,MCLEAN,IL,61761
Bloomington,MCLEAN,17113.0,IL,61704,Temba Food Pantry,14940 Old Colonial Rd ,Bloomington,MCLEAN,IL,61705
Bloomington,MCLEAN,17113.0,IL,61704,Temba Food Pantry,14940 Old Colonial Rd ,Bloomington,MCLEAN,IL,61705
Bloomington,MCLEAN,17113.0,IL,61704,Eastview Christian Church Food Pantry,1500 Airport Rd ,Normal,MCLEAN,IL,61761
Bloomington,MCLEAN,17113.0,IL,61704,Eastview Christian Church Food Pantry,1500 Airport Rd ,Normal,MCLEAN,IL,61761
Bloomington,MCLEAN,17113.0,IL,61704,Temba Food Pantry,14940 Old Colonial Rd ,Bloomington,MCLEAN,IL,61705
Woodland,Iroquois,17075.0,IL,60974,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
Woodland,Iroquois,17075.0,IL,60974,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
Bloomington,McLean,17113.0,IL,61701,Eastview Christian Church Food Pantry,1500 Airport Rd ,Normal,MCLEAN,IL,61761
Potomac,Vermilion,17183.0,IL,61865,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
Potomac,Vermilion,17183.0,IL,61865,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
Villa Grove,Douglas,17041.0,IL,61956,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Villa Grove,Douglas,17041.0,IL,61956,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Villa Grove,Douglas,17041.0,IL,61956,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Villa Grove,Douglas,17041.0,IL,61956,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Villa Grove,Douglas,17041.0,IL,61956,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Villa Grove,Douglas,17041.0,IL,61956,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Villa Grove,Douglas,17041.0,IL,61956,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Villa Grove,Douglas,17041.0,IL,61956,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Villa Grove,Douglas,17041.0,IL,61956,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Villa Grove,Douglas,17041.0,IL,61956,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Villa Grove,Douglas,17041.0,IL,61956,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Villa Grove,Douglas,17041.0,IL,61956,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Villa Grove,Douglas,17041.0,IL,61956,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Villa Grove,Douglas,17041.0,IL,61956,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Low Point,Woodford,17203.0,IL,61545,Open Arms Food Pantry,1200 W Mt Vernon St ,Metamora,WOODFORD,IL,61548
Low Point,Woodford,17203.0,IL,61545,Open Arms Food Pantry,1200 W Mt Vernon St ,Metamora,WOODFORD,IL,61548
Low Point,Woodford,17203.0,IL,61545,Open Arms Food Pantry,1200 W Mt Vernon St ,Metamora,WOODFORD,IL,61548
,DOUGLAS,17041.0,IL,61913,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
,Douglas,17041.0,IL,61913,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Bement,Piatt,17147.0,IL,61813,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Bement,Piatt,17147.0,IL,61813,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
,Piatt,17147.0,IL,61856,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
,Piatt,17147.0,IL,61856,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
,PIATT,17147.0,IL,61813,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
,Piatt,17147.0,IL,61813,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
,Piatt,17147.0,IL,61813,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
,PIATT,17147.0,IL,61813,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
,iroquois,17075.0,IL,60938,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
,iroquois,17075.0,IL,60955,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
,iroquois,17075.0,IL,60955,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
,iroquois,17075.0,IL,60970,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
,iroquois,17075.0,IL,60970,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
,iroquois,17075.0,IL,60928,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
,VERMILION,17183.0,IL,60960,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
,Iroquois,17075.0,IL,60966,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
,iroquois,17075.0,IL,60970,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
Milford,Iroquois,17075.0,IL,60953,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
,vermilion,17183.0,IL,60942,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
,vermilion,17183.0,IL,60942,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
,iroquois,,IL,60953,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
,iroquois,17075.0,IL,60953,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
,iroquois,17075.0,IL,60953,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
Milford,IROQUOIS,17075.0,IL,60953,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
Milford,IROQUOIS,17075.0,IL,60953,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
,iroquois,17075.0,IL,60953,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
,iroquois,17075.0,IL,60970,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
,iroquois,17075.0,IL,60953,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
,iroquois,17075.0,IL,60967,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
,iroquois,17075.0,IL,60953,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
Bloomington,McLean,17113.0,IL,61704,Eastview Christian Church Food Pantry,1500 Airport Rd ,Normal,MCLEAN,IL,61761
Bloomington,McLean,17113.0,IL,61704,Eastview Christian Church Food Pantry,1500 Airport Rd ,Normal,MCLEAN,IL,61761
Bloomington,McLean,17113.0,IL,61704,Eastview Christian Church Food Pantry,1500 Airport Rd ,Normal,MCLEAN,IL,61761
Bloomington,McLean,17113.0,IL,61704,Eastview Christian Church Food Pantry,1500 Airport Rd ,Normal,MCLEAN,IL,61761
Cerro Gordo,Piatt,17147.0,IL,61818,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Cerro Gordo,Piatt,17147.0,IL,61818,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Cerro Gordo,Piatt,17147.0,IL,61818,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Cerro Gordo,Piatt,17147.0,IL,61818,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Cerro Gordo,Piatt,17147.0,IL,61818,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Cerro Gordo,Piatt,17147.0,IL,61818,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
